"The hypothesis contains 0 counts of 4-gram overlaps. Therefore the BLEU score evaluates to 0, independently of how many N-gram overlaps of lower order it contains.",
Consider using lower n-gram order or use SmoothingFunction(),
,
Example 0 ========,
Source Text (Input)        , <s> Mon intelligente Else est si travailleuse qu' elle ne pense jamais à rentrer à la maison et à manger . </s>
Target Text (Ground Truth) , <s> INTELLIGENTE TRAVAILLEUSE NE JAMAIS MAISON ELSE PENSE RENTRER MANGER </s>
Model Output ( beam )     , <s> BIEN GENS NE PAS JAMAIS MAISON RENTRER </s> 
BLEU score * 100 , 7.208781414766327e-153 ---
Model Output ( greedy )     , <s> BIEN NE PAS JAMAIS VU AVOIR FAIRE </s> 
BLEU score * 100 , 1.4147351699132999e-229 ---
Example 1 ========,
Source Text (Input)        , <s> De quoi dois -je me satisfaire ? </s>
Target Text (Ground Truth) , <s> DEVOIR SATISFAIRE </s>
Model Output ( beam )     , <s> DEVOIR MOURIR </s> 
BLEU score * 100 , 1.0547686614863434e-152 ---
Model Output ( greedy )     , <s> DEVOIR MOURIR </s> 
BLEU score * 100 , 1.0547686614863434e-152 ---
Example 2 ========,
Source Text (Input)        ," <s> avec sept petites assiettes et sept petites cuillères , </s>"
Target Text (Ground Truth) , <s> SEPT PETITES ASSIETTES SEPT PETITES CUILLERES </s>
Model Output ( beam )     , <s> SEPT THALERS VENDUE </s> 
BLEU score * 100 , 7.176381577237209e-153 ---
Model Output ( greedy )     , <s> SEPT RECU HUIT ROI DIRE </s> 
BLEU score * 100 , 7.176381577237209e-153 ---
Example 3 ========,
Source Text (Input)        ," <s> Alors , lui plaira -t -il de descendre ? </s>"
Target Text (Ground Truth) , <s> ALORS PLAIRE DESCENDRE </s>
Model Output ( beam )     , <s> ALORS COMMENT DESCENDRE </s> 
BLEU score * 100 , 1.1862800137389335e-152 ---
Model Output ( greedy )     , <s> ALORS POURQUOI PAS POSSIBLE REPONDRE </s> 
BLEU score * 100 , 7.711523862191632e-153 ---
Example 4 ========,
Source Text (Input)        , <s> il n' y a pas de lumière à obtenir . </s>
Target Text (Ground Truth) , <s> PAS LUMIERE AVOIR OBTENIR </s>
Model Output ( beam )     , <s> PAS PEUR AVOIR REPETE </s> 
BLEU score * 100 , 9.013778876140909e-153 ---
Model Output ( greedy )     , <s> PAS PAS COEUR TOUCHE LUMIERE </s> 
BLEU score * 100 , 8.286571670851009e-153 ---
